Atemp,Year,Day
23.9,2015,1
19.5,2015,2
18.9,2015,3
17.9,2015,4
16.2,2015,5
17.5,2015,6
17.5,2015,7
16.8,2015,8
16.9,2015,9
16.6,2015,10
16.0,2015,11
15.9,2015,12
16.5,2015,13
14.5,2015,14
15.7,2015,15
19.6,2015,16
20.9,2015,17
22.8,2015,18
21.5,2015,19
19.8,2015,20
18.5,2015,21
19.4,2015,22
18.9,2015,23
18.8,2015,24
18.8,2015,25
18.0,2015,26
18.8,2015,27
18.3,2015,28
13.2,2015,29
12.3,2015,30
14.2,2015,31
16.2,2015,32
14.0,2015,33
9.0,2015,34
7.3,2015,35
6.3,2015,36
11.3,2015,37
14.8,2015,38
19.2,2015,39
20.8,2015,40
21.7,2015,41
22.7,2015,42
22.8,2015,43
19.6,2015,44
13.0,2015,45
7.2,2015,46
3.7,2015,47
7.1,2015,48
11.4,2015,49
15.1,2015,50
18.1,2015,51
18.3,2015,52
16.2,2015,53
14.7,2015,54
17.0,2015,55
17.2,2015,56
14.5,2015,57
20.3,2016,1
19.0,2016,2
18.9,2016,3
20.0,2016,4
18.6,2016,5
17.6,2016,6
15.8,2016,7
14.7,2016,8
13.3,2016,9
16.7,2016,10
20.1,2016,11
20.0,2016,12
19.2,2016,13
17.4,2016,14
19.7,2016,15
22.3,2016,16
21.6,2016,17
23.4,2016,18
25.2,2016,19
22.9,2016,20
21.2,2016,21
22.8,2016,22
17.8,2016,23
18.3,2016,24
18.8,2016,25
19.7,2016,26
18.5,2016,27
18.1,2016,28
17.7,2016,29
16.8,2016,30
15.1,2016,31
13.8,2016,32
11.3,2016,33
10.6,2016,34
8.5,2016,35
10.1,2016,36
12.4,2016,37
13.3,2016,38
16.7,2016,39
17.4,2016,40
20.2,2016,41
17.1,2016,42
10.7,2016,43
11.0,2016,44
11.0,2016,45
13.7,2016,46
16.0,2016,47
17.7,2016,48
17.8,2016,49
16.1,2016,50
14.5,2016,51
8.0,2016,52
3.8,2016,53
7.4,2016,54
12.1,2016,55
18.2,2016,56
20.3,2016,57
19.1,2016,58
18.6,2016,59
15.2,2016,60
10.0,2016,61
18.6,2019,1
18.4,2019,2
20.1,2019,3
20.0,2019,4
20.2,2019,5
20.4,2019,6
20.1,2019,7
17.6,2019,8
13.9,2019,9
9.3,2019,10
11.6,2019,11
15.7,2019,12
18.4,2019,13
20.1,2019,14
20.7,2019,15
17.9,2019,16
18.7,2019,17
18.9,2019,18
17.2,2019,19
17.3,2019,20
16.7,2019,21
15.0,2019,22
19.6,2019,23
20.2,2019,24
20.1,2019,25
20.5,2019,26
23.8,2019,27
21.3,2019,28
19.8,2019,29
17.4,2019,30
18.6,2019,31
18.2,2019,32
18.8,2019,33
18.5,2019,34
19.7,2019,35
19.3,2019,36
17.5,2019,37
16.3,2019,38
10.7,2019,39
10.2,2019,40
8.7,2019,41
10.9,2019,42
15.7,2019,43
17.4,2019,44
17.8,2019,45
14.9,2019,46
6.6,2019,47
7.3,2019,48
6.4,2019,49
6.5,2019,50
7.7,2019,51
10.3,2019,52
11.2,2019,53
9.4,2019,54
14.9,2019,55
15.7,2019,56
16.2,2019,57
10.9,2019,58
1.5,2019,59
1.2,2019,60
1.3,2019,61
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
