Wnd,Year,Day
0.38,2015,1
0.38,2015,2
0.78,2015,3
0.99,2015,4
0.57,2015,5
0.31,2015,6
0.49,2015,7
1.00,2015,8
0.66,2015,9
0.56,2015,10
0.73,2015,11
1.05,2015,12
1.00,2015,13
0.79,2015,14
0.40,2015,15
0.22,2015,16
0.30,2015,17
0.25,2015,18
0.13,2015,19
0.38,2015,20
0.26,2015,21
0.54,2015,22
1.85,2015,23
1.59,2015,24
1.02,2015,25
0.88,2015,26
0.75,2015,27
0.97,2015,28
1.63,2015,29
0.51,2015,30
0.34,2015,31
0.81,2015,32
0.97,2015,33
0.37,2015,34
0.76,2015,35
0.68,2015,36
0.43,2015,37
0.33,2015,38
0.39,2015,39
0.52,2015,40
0.37,2015,41
0.28,2015,42
0.19,2015,43
0.13,2015,44
1.54,2015,45
0.74,2015,46
0.65,2015,47
0.33,2015,48
0.19,2015,49
0.26,2015,50
0.11,2015,51
0.55,2015,52
1.39,2015,53
0.61,2015,54
0.65,2015,55
0.63,2015,56
0.53,2015,57
1.00,2016,1
0.28,2016,2
0.19,2016,3
0.57,2016,4
0.72,2016,5
0.71,2016,6
0.33,2016,7
0.56,2016,8
0.62,2016,9
0.14,2016,10
0.42,2016,11
0.33,2016,12
0.00,2016,13
0.00,2016,14
0.28,2016,15
0.28,2016,16
0.47,2016,17
0.28,2016,18
0.52,2016,19
0.33,2016,20
0.28,2016,21
0.28,2016,22
0.33,2016,23
0.24,2016,24
0.38,2016,25
0.57,2016,26
0.96,2016,27
1.09,2016,28
0.95,2016,29
0.94,2016,30
0.47,2016,31
0.24,2016,32
0.38,2016,33
0.47,2016,34
0.76,2016,35
0.33,2016,36
0.66,2016,37
0.33,2016,38
0.24,2016,39
0.33,2016,40
0.19,2016,41
0.28,2016,42
0.52,2016,43
0.38,2016,44
0.05,2016,45
0.28,2016,46
0.28,2016,47
0.14,2016,48
0.14,2016,49
0.38,2016,50
0.47,2016,51
0.43,2016,52
1.05,2016,53
0.09,2016,54
0.28,2016,55
0.47,2016,56
0.47,2016,57
0.28,2016,58
1.14,2016,59
1.38,2016,60
0.85,2016,61
1.30,2019,1
0.47,2019,2
0.47,2019,3
1.00,2019,4
0.85,2019,5
1.15,2019,6
1.43,2019,7
1.53,2019,8
0.66,2019,9
0.33,2019,10
0.33,2019,11
0.33,2019,12
0.19,2019,13
0.28,2019,14
0.47,2019,15
0.52,2019,16
0.66,2019,17
1.87,2019,18
1.39,2019,19
0.96,2019,20
0.19,2019,21
0.71,2019,22
0.33,2019,23
1.44,2019,24
0.66,2019,25
0.28,2019,26
0.38,2019,27
0.86,2019,28
1.44,2019,29
0.96,2019,30
1.15,2019,31
1.19,2019,32
1.00,2019,33
0.96,2019,34
0.57,2019,35
0.86,2019,36
1.63,2019,37
1.43,2019,38
0.14,2019,39
0.33,2019,40
0.28,2019,41
0.09,2019,42
0.28,2019,43
0.38,2019,44
0.95,2019,45
1.14,2019,46
0.71,2019,47
1.29,2019,48
0.66,2019,49
0.95,2019,50
0.62,2019,51
0.28,2019,52
0.38,2019,53
0.38,2019,54
0.57,2019,55
0.33,2019,56
0.14,2019,57
0.24,2019,58
1.19,2019,59
0.24,2019,60
0.05,2019,61
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
