PAR,Year,Day
1812,2015,1
1807,2015,2
1805,2015,3
1708,2015,4
1420,2015,5
1697,2015,6
1433,2015,7
1639,2015,8
1766,2015,9
1524,2015,10
1667,2015,11
1822,2015,12
1833,2015,13
1764,2015,14
1777,2015,15
1773,2015,16
1673,2015,17
1678,2015,18
1340,2015,19
1518,2015,20
1574,2015,21
1606,2015,22
1727,2015,23
1654,2015,24
1623,2015,25
1595,2015,26
1680,2015,27
1416,2015,28
899,2015,29
1608,2015,30
1654,2015,31
1673,2015,32
1483,2015,33
1083,2015,34
1522,2015,35
1660,2015,36
1632,2015,37
1626,2015,38
1615,2015,39
1611,2015,40
1569,2015,41
1362,2015,42
1109,2015,43
1066,2015,44
1010,2015,45
1031,2015,46
1131,2015,47
1068,2015,48
1496,2015,49
1600,2015,50
1576,2015,51
1587,2015,52
1589,2015,53
1582,2015,54
1511,2015,55
1537,2015,56
1526,2015,57
1952,2016,1
1930,2016,2
1941,2016,3
1922,2016,4
1857,2016,5
1907,2016,6
1766,2016,7
1623,2016,8
1872,2016,9
1466,2016,10
1835,2016,11
1738,2016,12
1271,2016,13
1509,2016,14
804,2016,15
1747,2016,16
1699,2016,17
1695,2016,18
1669,2016,19
1494,2016,20
1632,2016,21
1550,2016,22
1656,2016,23
1647,2016,24
1762,2016,25
1738,2016,26
1701,2016,27
1723,2016,28
1598,2016,29
1626,2016,30
1630,2016,31
1386,2016,32
1262,2016,33
1636,2016,34
1678,2016,35
1559,2016,36
1511,2016,37
1611,2016,38
1550,2016,39
1626,2016,40
1602,2016,41
1580,2016,42
1595,2016,43
1587,2016,44
1390,2016,45
1574,2016,46
1572,2016,47
1312,2016,48
1306,2016,49
1645,2016,50
1613,2016,51
1275,2016,52
1001,2016,53
880,2016,54
1572,2016,55
1565,2016,56
1554,2016,57
1520,2016,58
1502,2016,59
1574,2016,60
1187,2016,61
1861,2019,1
1827,2019,2
1825,2019,3
1935,2019,4
1805,2019,5
1703,2019,6
1848,2019,7
1939,2019,8
1332,2019,9
992,2019,10
1753,2019,11
1876,2019,12
1850,2019,13
1838,2019,14
1783,2019,15
1838,2019,16
1783,2019,17
1788,2019,18
1747,2019,19
1844,2019,20
1245,2019,21
1896,2019,22
1831,2019,23
1805,2019,24
1783,2019,25
1794,2019,26
1807,2019,27
1010,2019,28
1589,2019,29
1768,2019,30
1762,2019,31
1738,2019,32
1758,2019,33
1684,2019,34
1697,2019,35
1578,2019,36
1721,2019,37
1431,2019,38
1066,2019,39
1470,2019,40
1031,2019,41
1509,2019,42
1645,2019,43
1621,2019,44
1626,2019,45
1636,2019,46
1020,2019,47
1394,2019,48
809,2019,49
1105,2019,50
1546,2019,51
1546,2019,52
605,2019,53
1526,2019,54
1464,2019,55
1502,2019,56
1474,2019,57
882,2019,58
1178,2019,59
588,2019,60
1031,2019,61
