WPAR,Year,Day
580,2015,1
578,2015,2
576,2015,3
544,2015,4
452,2015,5
541,2015,6
458,2015,7
524,2015,8
565,2015,9
488,2015,10
535,2015,11
585,2015,12
590,2015,13
569,2015,14
576,2015,15
575,2015,16
545,2015,17
547,2015,18
438,2015,19
497,2015,20
515,2015,21
527,2015,22
566,2015,23
542,2015,24
533,2015,25
523,2015,26
551,2015,27
465,2015,28
296,2015,29
528,2015,30
544,2015,31
550,2015,32
487,2015,33
356,2015,34
501,2015,35
546,2015,36
537,2015,37
535,2015,38
531,2015,39
530,2015,40
517,2015,41
448,2015,42
366,2015,43
351,2015,44
358,2015,45
339,2015,46
372,2015,47
350,2015,48
489,2015,49
523,2015,50
516,2015,51
519,2015,52
521,2015,53
519,2015,54
497,2015,55
506,2015,56
503,2015,57
630,2016,1
622,2016,2
624,2016,3
617,2016,4
595,2016,5
609,2016,6
563,2016,7
517,2016,8
594,2016,9
464,2016,10
580,2016,11
549,2016,12
401,2016,13
477,2016,14
254,2016,15
553,2016,16
538,2016,17
537,2016,18
528,2016,19
472,2016,20
516,2016,21
490,2016,22
523,2016,23
520,2016,24
557,2016,25
549,2016,26
537,2016,27
543,2016,28
504,2016,29
513,2016,30
514,2016,31
437,2016,32
398,2016,33
516,2016,34
529,2016,35
491,2016,36
476,2016,37
507,2016,38
488,2016,39
511,2016,40
504,2016,41
501,2016,42
509,2016,43
510,2016,44
450,2016,45
513,2016,46
516,2016,47
434,2016,48
431,2016,49
542,2016,50
530,2016,51
418,2016,52
327,2016,53
286,2016,54
510,2016,55
509,2016,56
506,2016,57
495,2016,58
490,2016,59
514,2016,60
388,2016,61
625,2019,1
618,2019,2
620,2019,3
661,2019,4
620,2019,5
588,2019,6
642,2019,7
670,2019,8
457,2019,9
339,2019,10
595,2019,11
633,2019,12
621,2019,13
613,2019,14
592,2019,15
611,2019,16
594,2019,17
596,2019,18
584,2019,19
618,2019,20
418,2019,21
634,2019,22
611,2019,23
601,2019,24
592,2019,25
594,2019,26
596,2019,27
333,2019,28
524,2019,29
583,2019,30
581,2019,31
573,2019,32
579,2019,33
555,2019,34
560,2019,35
521,2019,36
568,2019,37
471,2019,38
350,2019,39
482,2019,40
337,2019,41
493,2019,42
537,2019,43
529,2019,44
531,2019,45
535,2019,46
333,2019,47
455,2019,48
264,2019,49
361,2019,50
505,2019,51
505,2019,52
198,2019,53
498,2019,54
478,2019,55
490,2019,56
482,2019,57
288,2019,58
385,2019,59
192,2019,60
337,2019,61
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
